DRUG_1_CONCEPT_NAME,DRUG_2_CONCEPT_NAME,EVENT_CONCEPT_NAME,MDR_CODE,MICROMEDEX_EVID_LEVEL,DRUG_1_CODE,DRUG_2_CODE,DRUG_1_QID,DRUG_2_QID,EVENT_QID,SOURCING_QID
acenocoumarol,dexketoprofen,Haemorrhage,10055798,Theoretical,154,,Q304088,,Q7317047,Q18603603
acenocoumarol,tiaprofenate,Haemorrhage,10055798,Theoretical,154,,Q304088,,Q7317047,Q18603603
acenocoumarol,ticagrelor,Haemorrhage,10055798,Theoretical,154,1116632,Q304088,Q420542,Q7317047,Q18603603
acenocoumarol,vortioxetine,Haemorrhage,10055798,Theoretical,154,1455099,Q304088,Q3563148,Q7317047,Q18603603
acenocoumarol,ibrutinib,Haemorrhage,10055798,Theoretical,154,1442981,Q304088,Q5984881,Q7317047,Q18603603
danaparoid,prasugrel,Haemorrhage,10055798,Theoretical,78484,613391,,Q416232,Q7317047,Q18603603
danaparoid,ticagrelor,Haemorrhage,10055798,Theoretical,78484,1116632,,Q420542,Q7317047,Q18603603
danaparoid,cangrelor,Haemorrhage,10055798,Theoretical,78484,1656052,,Q3655338,Q7317047,Q18603603
aceclofenac,phenindione,Haemorrhage,10055798,Theoretical,16689,8130,Q481757,Q1640947,Q7317047,Q18603603
aceclofenac,rivaroxaban,Haemorrhage,10055798,Theoretical,16689,1114195,Q481757,Q420262,Q7317047,Q18603603
aceclofenac,apixaban,Haemorrhage,10055798,Theoretical,16689,1364430,Q481757,Q414462,Q7317047,Q18603603
phenindione,tenoxicam,Haemorrhage,10055798,Theoretical,8130,37790,Q1640947,Q45050,Q7317047,Q18603603
phenindione,dexketoprofen,Haemorrhage,10055798,Theoretical,8130,,Q1640947,,Q7317047,Q18603603
phenindione,tiaprofenate,Haemorrhage,10055798,Theoretical,8130,,Q1640947,,Q7317047,Q18603603
phenindione,prasugrel,Haemorrhage,10055798,Theoretical,8130,613391,Q1640947,Q416232,Q7317047,Q18603603
phenindione,ticagrelor,Haemorrhage,10055798,Theoretical,8130,1116632,Q1640947,Q420542,Q7317047,Q18603603
phenindione,vortioxetine,Haemorrhage,10055798,Theoretical,8130,1455099,Q1640947,Q3563148,Q7317047,Q18603603
phenindione,cangrelor,Haemorrhage,10055798,Theoretical,8130,1656052,Q1640947,Q3655338,Q7317047,Q18603603
tenoxicam,rivaroxaban,Haemorrhage,10055798,Theoretical,37790,1114195,Q45050,Q420262,Q7317047,Q18603603
tenoxicam,apixaban,Haemorrhage,10055798,Theoretical,37790,1364430,Q45050,Q414462,Q7317047,Q18603603
dexketoprofen,rivaroxaban,Haemorrhage,10055798,Theoretical,,1114195,,Q420262,Q7317047,Q18603603
dexketoprofen,apixaban,Haemorrhage,10055798,Theoretical,,1364430,,Q414462,Q7317047,Q18603603
tiaprofenate,rivaroxaban,Haemorrhage,10055798,Theoretical,,1114195,,Q420262,Q7317047,Q18603603
tiaprofenate,apixaban,Haemorrhage,10055798,Theoretical,,1364430,,Q414462,Q7317047,Q18603603
tenecteplase,ticagrelor,Haemorrhage,10055798,Theoretical,259280,1116632,Q1644947,Q420542,Q7317047,Q18603603
streptokinase,ticagrelor,Haemorrhage,10055798,Theoretical,10106,1116632,Q416485,Q420542,Q7317047,Q18603603
prasugrel,rivaroxaban,Haemorrhage,10055798,Theoretical,613391,1114195,Q416232,Q420262,Q7317047,Q18603603
prasugrel,apixaban,Haemorrhage,10055798,Theoretical,613391,1364430,Q416232,Q414462,Q7317047,Q18603603
ticagrelor,rivaroxaban,Haemorrhage,10055798,Theoretical,1116632,1114195,Q420542,Q420262,Q7317047,Q18603603
rivaroxaban,vortioxetine,Haemorrhage,10055798,Theoretical,1114195,1455099,Q420262,Q3563148,Q7317047,Q18603603
rivaroxaban,ibrutinib,Haemorrhage,10055798,Theoretical,1114195,1442981,Q420262,Q5984881,Q7317047,Q18603603
rivaroxaban,cangrelor,Haemorrhage,10055798,Theoretical,1114195,1656052,Q420262,Q3655338,Q7317047,Q18603603
apixaban,vortioxetine,Haemorrhage,10055798,Theoretical,1364430,1455099,Q414462,Q3563148,Q7317047,Q18603603
apixaban,ibrutinib,Haemorrhage,10055798,Theoretical,1364430,1442981,Q414462,Q5984881,Q7317047,Q18603603
apixaban,cangrelor,Haemorrhage,10055798,Theoretical,1364430,1656052,Q414462,Q3655338,Q7317047,Q18603603
duloxetine,rivaroxaban,Haemorrhage,10055798,Theoretical,72625,1114195,Q411932,Q420262,Q7317047,Q18603603
escitalopram,rivaroxaban,Haemorrhage,10055798,Theoretical,,1114195,,Q420262,Q7317047,Q18603603
paroxetine,rivaroxaban,Haemorrhage,10055798,Theoretical,32937,1114195,Q408471,Q420262,Q7317047,Q18603603
sertraline,rivaroxaban,Haemorrhage,10055798,Theoretical,36437,1114195,Q407617,Q420262,Q7317047,Q18603603
fluvoxamine,rivaroxaban,Haemorrhage,10055798,Theoretical,42355,1114195,Q409236,Q420262,Q7317047,Q18603603
fluoxetine,rivaroxaban,Haemorrhage,10055798,Theoretical,4493,1114195,Q422244,Q420262,Q7317047,Q18603603
citalopram,rivaroxaban,Haemorrhage,10055798,Theoretical,2556,1114195,Q409672,Q420262,Q7317047,Q18603603
aspirin,alteplase,Haemorrhage,10055798,Theoretical,1191,8410,Q18216,Q45769835,Q7317047,Q18603603
aspirin,tenecteplase,Haemorrhage,10055798,Probable,1191,259280,Q18216,Q1644947,Q7317047,Q56644435
nabumetone,enoxaparin,Haemorrhage,10055798,Probable,31448,67108,Q425207,Q105969996,Q7317047,Q56644435
nabumetone,dalteparin,Haemorrhage,10055798,Probable,31448,67109,Q425207,Q1851701,Q7317047,Q56644435
nabumetone,tinzaparin,Haemorrhage,10055798,Probable,31448,69646,Q425207,Q20817252,Q7317047,Q56644435
nabumetone,danaparoid,Haemorrhage,10055798,Probable,31448,78484,Q425207,,Q7317047,Q56644435
naproxen,enoxaparin,Haemorrhage,10055798,Probable,7258,67108,Q1215575,Q105969996,Q7317047,Q56644435
naproxen,dalteparin,Haemorrhage,10055798,Probable,7258,67109,Q1215575,Q1851701,Q7317047,Q56644435
naproxen,tinzaparin,Haemorrhage,10055798,Probable,7258,69646,Q1215575,Q20817252,Q7317047,Q56644435
naproxen,danaparoid,Haemorrhage,10055798,Probable,7258,78484,Q1215575,,Q7317047,Q56644435
celecoxib,enoxaparin,Haemorrhage,10055798,Probable,140587,67108,Q408801,Q105969996,Q7317047,Q56644435
celecoxib,dalteparin,Haemorrhage,10055798,Probable,140587,67109,Q408801,Q1851701,Q7317047,Q56644435
celecoxib,tinzaparin,Haemorrhage,10055798,Probable,140587,69646,Q408801,Q20817252,Q7317047,Q56644435
celecoxib,danaparoid,Haemorrhage,10055798,Probable,140587,78484,Q408801,,Q7317047,Q56644435
diclofenac,enoxaparin,Haemorrhage,10055798,Probable,3355,67108,Q244408,Q105969996,Q7317047,Q56644435
diclofenac,dalteparin,Haemorrhage,10055798,Probable,3355,67109,Q244408,Q1851701,Q7317047,Q56644435
diclofenac,tinzaparin,Haemorrhage,10055798,Probable,3355,69646,Q244408,Q20817252,Q7317047,Q56644435
diclofenac,danaparoid,Haemorrhage,10055798,Probable,3355,78484,Q244408,,Q7317047,Q56644435
piroxicam,enoxaparin,Haemorrhage,10055798,Probable,8356,67108,Q408676,Q105969996,Q7317047,Q56644435
piroxicam,dalteparin,Haemorrhage,10055798,Probable,8356,67109,Q408676,Q1851701,Q7317047,Q56644435
piroxicam,tinzaparin,Haemorrhage,10055798,Probable,8356,69646,Q408676,Q20817252,Q7317047,Q56644435
piroxicam,danaparoid,Haemorrhage,10055798,Probable,8356,78484,Q408676,,Q7317047,Q56644435
meloxicam,enoxaparin,Haemorrhage,10055798,Probable,41493,67108,Q414028,Q105969996,Q7317047,Q56644435
meloxicam,dalteparin,Haemorrhage,10055798,Probable,41493,67109,Q414028,Q1851701,Q7317047,Q56644435
meloxicam,tinzaparin,Haemorrhage,10055798,Probable,41493,69646,Q414028,Q20817252,Q7317047,Q56644435
meloxicam,danaparoid,Haemorrhage,10055798,Probable,41493,78484,Q414028,,Q7317047,Q56644435
fenoprofen,enoxaparin,Haemorrhage,10055798,Probable,4331,67108,Q2555245,Q105969996,Q7317047,Q56644435
fenoprofen,dalteparin,Haemorrhage,10055798,Probable,4331,67109,Q2555245,Q1851701,Q7317047,Q56644435
fenoprofen,tinzaparin,Haemorrhage,10055798,Probable,4331,69646,Q2555245,Q20817252,Q7317047,Q56644435
fenoprofen,danaparoid,Haemorrhage,10055798,Probable,4331,78484,Q2555245,,Q7317047,Q56644435
flurbiprofen,enoxaparin,Haemorrhage,10055798,Probable,4502,67108,Q419890,Q105969996,Q7317047,Q56644435
flurbiprofen,dalteparin,Haemorrhage,10055798,Probable,4502,67109,Q419890,Q1851701,Q7317047,Q56644435
flurbiprofen,tinzaparin,Haemorrhage,10055798,Probable,4502,69646,Q419890,Q20817252,Q7317047,Q56644435
flurbiprofen,danaparoid,Haemorrhage,10055798,Probable,4502,78484,Q419890,,Q7317047,Q56644435
ibuprofen,enoxaparin,Haemorrhage,10055798,Probable,5640,67108,Q186969,Q105969996,Q7317047,Q56644435
ibuprofen,dalteparin,Haemorrhage,10055798,Probable,5640,67109,Q186969,Q1851701,Q7317047,Q56644435
ibuprofen,tinzaparin,Haemorrhage,10055798,Probable,5640,69646,Q186969,Q20817252,Q7317047,Q56644435
ibuprofen,danaparoid,Haemorrhage,10055798,Probable,5640,78484,Q186969,,Q7317047,Q56644435
indomethacin,enoxaparin,Haemorrhage,10055798,Probable,5781,67108,Q409231,Q105969996,Q7317047,Q56644435
indomethacin,dalteparin,Haemorrhage,10055798,Probable,5781,67109,Q409231,Q1851701,Q7317047,Q56644435
indomethacin,tinzaparin,Haemorrhage,10055798,Probable,5781,69646,Q409231,Q20817252,Q7317047,Q56644435
indomethacin,danaparoid,Haemorrhage,10055798,Probable,5781,78484,Q409231,,Q7317047,Q56644435
ketoprofen,enoxaparin,Haemorrhage,10055798,Probable,6142,67108,Q409192,Q105969996,Q7317047,Q56644435
ketoprofen,dalteparin,Haemorrhage,10055798,Probable,6142,67109,Q409192,Q1851701,Q7317047,Q56644435
ketoprofen,tinzaparin,Haemorrhage,10055798,Probable,6142,69646,Q409192,Q20817252,Q7317047,Q56644435
ketoprofen,danaparoid,Haemorrhage,10055798,Probable,6142,78484,Q409192,,Q7317047,Q56644435
etodolac,enoxaparin,Haemorrhage,10055798,Probable,24605,67108,Q2465218,Q105969996,Q7317047,Q56644435
etodolac,dalteparin,Haemorrhage,10055798,Probable,24605,67109,Q2465218,Q1851701,Q7317047,Q56644435
etodolac,tinzaparin,Haemorrhage,10055798,Probable,24605,69646,Q2465218,Q20817252,Q7317047,Q56644435
etodolac,danaparoid,Haemorrhage,10055798,Probable,24605,78484,Q2465218,,Q7317047,Q56644435
mefenamate,enoxaparin,Haemorrhage,10055798,Probable,,67108,,Q105969996,Q7317047,Q56644435
mefenamate,dalteparin,Haemorrhage,10055798,Probable,,67109,,Q1851701,Q7317047,Q56644435
mefenamate,tinzaparin,Haemorrhage,10055798,Probable,,69646,,Q20817252,Q7317047,Q56644435
mefenamate,danaparoid,Haemorrhage,10055798,Probable,,78484,,,Q7317047,Q56644435
sulindac,enoxaparin,Haemorrhage,10055798,Probable,10237,67108,Q963093,Q105969996,Q7317047,Q56644435
sulindac,dalteparin,Haemorrhage,10055798,Probable,10237,67109,Q963093,Q1851701,Q7317047,Q56644435
sulindac,tinzaparin,Haemorrhage,10055798,Probable,10237,69646,Q963093,Q20817252,Q7317047,Q56644435
sulindac,danaparoid,Haemorrhage,10055798,Probable,10237,78484,Q963093,,Q7317047,Q56644435
enoxaparin,parecoxib,Haemorrhage,10055798,Probable,67108,279950,Q105969996,Q347941,Q7317047,Q56644435
enoxaparin,aceclofenac,Haemorrhage,10055798,Probable,67108,16689,Q105969996,Q481757,Q7317047,Q56644435
enoxaparin,tenoxicam,Haemorrhage,10055798,Probable,67108,37790,Q105969996,Q45050,Q7317047,Q56644435
enoxaparin,abciximab,Haemorrhage,10055798,Theoretical,67108,83929,Q105969996,Q307088,Q7317047,Q18603603
enoxaparin,dexketoprofen,Haemorrhage,10055798,Probable,67108,,Q105969996,,Q7317047,Q56644435
enoxaparin,tiaprofenate,Haemorrhage,10055798,Probable,67108,,Q105969996,,Q7317047,Q56644435
dalteparin,parecoxib,Haemorrhage,10055798,Probable,67109,279950,Q1851701,Q347941,Q7317047,Q56644435
dalteparin,aceclofenac,Haemorrhage,10055798,Probable,67109,16689,Q1851701,Q481757,Q7317047,Q56644435
dalteparin,tenoxicam,Haemorrhage,10055798,Probable,67109,37790,Q1851701,Q45050,Q7317047,Q56644435
dalteparin,abciximab,Haemorrhage,10055798,Theoretical,67109,83929,Q1851701,Q307088,Q7317047,Q18603603
dalteparin,dexketoprofen,Haemorrhage,10055798,Probable,67109,,Q1851701,,Q7317047,Q56644435
dalteparin,tiaprofenate,Haemorrhage,10055798,Probable,67109,,Q1851701,,Q7317047,Q56644435
tinzaparin,parecoxib,Haemorrhage,10055798,Probable,69646,279950,Q20817252,Q347941,Q7317047,Q56644435
tinzaparin,aceclofenac,Haemorrhage,10055798,Probable,69646,16689,Q20817252,Q481757,Q7317047,Q56644435
tinzaparin,tenoxicam,Haemorrhage,10055798,Probable,69646,37790,Q20817252,Q45050,Q7317047,Q56644435
tinzaparin,abciximab,Haemorrhage,10055798,Theoretical,69646,83929,Q20817252,Q307088,Q7317047,Q18603603
tinzaparin,dexketoprofen,Haemorrhage,10055798,Probable,69646,,Q20817252,,Q7317047,Q56644435
tinzaparin,tiaprofenate,Haemorrhage,10055798,Probable,69646,,Q20817252,,Q7317047,Q56644435
warfarin,abciximab,Haemorrhage,10055798,Theoretical,11289,83929,Q113368879,Q307088,Q7317047,Q18603603
fondaparinux,abciximab,Haemorrhage,10055798,Theoretical,321208,83929,Q27077698,Q307088,Q7317047,Q18603603
clopidogrel,alteplase,Haemorrhage,10055798,Theoretical,32968,8410,Q410237,Q45769835,Q7317047,Q18603603
eptifibatide,alteplase,Haemorrhage,10055798,Theoretical,75635,8410,Q2295855,Q45769835,Q7317047,Q18603603
alteplase,tirofiban,Haemorrhage,10055798,Theoretical,8410,73137,Q45769835,Q415366,Q7317047,Q18603603
alteplase,abciximab,Haemorrhage,10055798,Theoretical,8410,83929,Q45769835,Q307088,Q7317047,Q18603603
alteplase,prasugrel,Haemorrhage,10055798,Theoretical,8410,613391,Q45769835,Q416232,Q7317047,Q18603603
heparin,abciximab,Haemorrhage,10055798,Theoretical,5224,83929,Q190016,Q307088,Q7317047,Q18603603
parecoxib,danaparoid,Haemorrhage,10055798,Probable,279950,78484,Q347941,,Q7317047,Q56644435
acenocoumarol,abciximab,Haemorrhage,10055798,Theoretical,154,83929,Q304088,Q307088,Q7317047,Q18603603
danaparoid,aceclofenac,Haemorrhage,10055798,Probable,78484,16689,,Q481757,Q7317047,Q56644435
danaparoid,tenoxicam,Haemorrhage,10055798,Probable,78484,37790,,Q45050,Q7317047,Q56644435
danaparoid,abciximab,Haemorrhage,10055798,Theoretical,78484,83929,,Q307088,Q7317047,Q18603603
danaparoid,dexketoprofen,Haemorrhage,10055798,Probable,78484,,,,Q7317047,Q56644435
danaparoid,tiaprofenate,Haemorrhage,10055798,Probable,78484,,,,Q7317047,Q56644435
phenindione,abciximab,Haemorrhage,10055798,Theoretical,8130,83929,Q1640947,Q307088,Q7317047,Q18603603
abciximab,rivaroxaban,Haemorrhage,10055798,Theoretical,83929,1114195,Q307088,Q420262,Q7317047,Q18603603
abciximab,apixaban,Haemorrhage,10055798,Theoretical,83929,1364430,Q307088,Q414462,Q7317047,Q18603603
duloxetine,apixaban,Haemorrhage,10055798,Theoretical,72625,1364430,Q411932,Q414462,Q7317047,Q18603603
escitalopram,warfarin,Haemorrhage,10055798,Probable,,11289,,Q113368879,Q7317047,Q56644435
escitalopram,acenocoumarol,Haemorrhage,10055798,Probable,,154,,Q304088,Q7317047,Q56644435
escitalopram,phenindione,Haemorrhage,10055798,Probable,,8130,,Q1640947,Q7317047,Q56644435
escitalopram,apixaban,Haemorrhage,10055798,Theoretical,,1364430,,Q414462,Q7317047,Q18603603
paroxetine,warfarin,Haemorrhage,10055798,Probable,32937,11289,Q408471,Q113368879,Q7317047,Q56644435
paroxetine,acenocoumarol,Haemorrhage,10055798,Probable,32937,154,Q408471,Q304088,Q7317047,Q56644435
paroxetine,phenindione,Haemorrhage,10055798,Probable,32937,8130,Q408471,Q1640947,Q7317047,Q56644435
paroxetine,apixaban,Haemorrhage,10055798,Theoretical,32937,1364430,Q408471,Q414462,Q7317047,Q18603603
sertraline,warfarin,Haemorrhage,10055798,Probable,36437,11289,Q407617,Q113368879,Q7317047,Q56644435
sertraline,acenocoumarol,Haemorrhage,10055798,Probable,36437,154,Q407617,Q304088,Q7317047,Q56644435
sertraline,phenindione,Haemorrhage,10055798,Probable,36437,8130,Q407617,Q1640947,Q7317047,Q56644435
sertraline,apixaban,Haemorrhage,10055798,Theoretical,36437,1364430,Q407617,Q414462,Q7317047,Q18603603
venlafaxine,warfarin,Haemorrhage,10055798,Probable,39786,11289,Q898407,Q113368879,Q7317047,Q56644435
venlafaxine,acenocoumarol,Haemorrhage,10055798,Probable,39786,154,Q898407,Q304088,Q7317047,Q56644435
venlafaxine,phenindione,Haemorrhage,10055798,Probable,39786,8130,Q898407,Q1640947,Q7317047,Q56644435
venlafaxine,rivaroxaban,Haemorrhage,10055798,Probable,39786,1114195,Q898407,Q420262,Q7317047,Q56644435
venlafaxine,apixaban,Haemorrhage,10055798,Theoretical,39786,1364430,Q898407,Q414462,Q7317047,Q18603603
fluvoxamine,warfarin,Haemorrhage,10055798,Probable,42355,11289,Q409236,Q113368879,Q7317047,Q56644435
fluvoxamine,acenocoumarol,Haemorrhage,10055798,Probable,42355,154,Q409236,Q304088,Q7317047,Q56644435
fluvoxamine,phenindione,Haemorrhage,10055798,Probable,42355,8130,Q409236,Q1640947,Q7317047,Q56644435
fluvoxamine,apixaban,Haemorrhage,10055798,Theoretical,42355,1364430,Q409236,Q414462,Q7317047,Q18603603
fluoxetine,warfarin,Haemorrhage,10055798,Probable,4493,11289,Q422244,Q113368879,Q7317047,Q56644435
fluoxetine,acenocoumarol,Haemorrhage,10055798,Probable,4493,154,Q422244,Q304088,Q7317047,Q56644435
fluoxetine,phenindione,Haemorrhage,10055798,Probable,4493,8130,Q422244,Q1640947,Q7317047,Q56644435
fluoxetine,apixaban,Haemorrhage,10055798,Theoretical,4493,1364430,Q422244,Q414462,Q7317047,Q18603603
citalopram,warfarin,Haemorrhage,10055798,Probable,2556,11289,Q409672,Q113368879,Q7317047,Q56644435
citalopram,acenocoumarol,Haemorrhage,10055798,Probable,2556,154,Q409672,Q304088,Q7317047,Q56644435
citalopram,phenindione,Haemorrhage,10055798,Probable,2556,8130,Q409672,Q1640947,Q7317047,Q56644435
citalopram,apixaban,Haemorrhage,10055798,Theoretical,2556,1364430,Q409672,Q414462,Q7317047,Q18603603
warfarin,parecoxib,Haemorrhage,10055798,Theoretical,11289,279950,Q113368879,Q347941,Q7317047,Q18603603
ticagrelor,apixaban,Haemorrhage,10055798,Theoretical,1116632,1364430,Q420542,Q414462,Q7317047,Q18603603
duloxetine,warfarin,Haemorrhage,10055798,Probable,72625,11289,Q411932,Q113368879,Q7317047,Q56644435
duloxetine,acenocoumarol,Haemorrhage,10055798,Established,72625,154,Q411932,Q304088,Q7317047,Q123505415
duloxetine,phenindione,Haemorrhage,10055798,Theoretical,72625,8130,Q411932,Q1640947,Q7317047,Q18603603
triamterene,nabumetone,Hyperkalaemia,10020646,Probable,10763,31448,Q221520,Q425207,Q605259,Q56644435
triamterene,naproxen,Hyperkalaemia,10020646,Probable,10763,7258,Q221520,Q1215575,Q605259,Q56644435
triamterene,celecoxib,Hyperkalaemia,10020646,Probable,10763,140587,Q221520,Q408801,Q605259,Q56644435
triamterene,diclofenac,Hyperkalaemia,10020646,Probable,10763,3355,Q221520,Q244408,Q605259,Q56644435
triamterene,piroxicam,Hyperkalaemia,10020646,Probable,10763,8356,Q221520,Q408676,Q605259,Q56644435
triamterene,meloxicam,Hyperkalaemia,10020646,Probable,10763,41493,Q221520,Q414028,Q605259,Q56644435
triamterene,fenoprofen,Hyperkalaemia,10020646,Probable,10763,4331,Q221520,Q2555245,Q605259,Q56644435
triamterene,flurbiprofen,Hyperkalaemia,10020646,Probable,10763,4502,Q221520,Q419890,Q605259,Q56644435
triamterene,ibuprofen,Hyperkalaemia,10020646,Probable,10763,5640,Q221520,Q186969,Q605259,Q56644435
triamterene,ketoprofen,Hyperkalaemia,10020646,Probable,10763,6142,Q221520,Q409192,Q605259,Q56644435
triamterene,etodolac,Hyperkalaemia,10020646,Probable,10763,24605,Q221520,Q2465218,Q605259,Q56644435
triamterene,mefenamate,Hyperkalaemia,10020646,Probable,10763,,Q221520,,Q605259,Q56644435
triamterene,sulindac,Hyperkalaemia,10020646,Probable,10763,10237,Q221520,Q963093,Q605259,Q56644435
triamterene,parecoxib,Hyperkalaemia,10020646,Probable,10763,279950,Q221520,Q347941,Q605259,Q56644435
triamterene,aceclofenac,Hyperkalaemia,10020646,Probable,10763,16689,Q221520,Q481757,Q605259,Q56644435
triamterene,tenoxicam,Hyperkalaemia,10020646,Probable,10763,37790,Q221520,Q45050,Q605259,Q56644435
triamterene,dexketoprofen,Hyperkalaemia,10020646,Probable,10763,,Q221520,,Q605259,Q56644435
triamterene,tiaprofenate,Hyperkalaemia,10020646,Probable,10763,,Q221520,,Q605259,Q56644435
amiloride,nabumetone,Hyperkalaemia,10020646,Probable,644,31448,Q419995,Q425207,Q605259,Q56644435
amiloride,naproxen,Hyperkalaemia,10020646,Probable,644,7258,Q419995,Q1215575,Q605259,Q56644435
amiloride,celecoxib,Hyperkalaemia,10020646,Probable,644,140587,Q419995,Q408801,Q605259,Q56644435
amiloride,diclofenac,Hyperkalaemia,10020646,Probable,644,3355,Q419995,Q244408,Q605259,Q56644435
amiloride,piroxicam,Hyperkalaemia,10020646,Probable,644,8356,Q419995,Q408676,Q605259,Q56644435
amiloride,meloxicam,Hyperkalaemia,10020646,Probable,644,41493,Q419995,Q414028,Q605259,Q56644435
amiloride,fenoprofen,Hyperkalaemia,10020646,Probable,644,4331,Q419995,Q2555245,Q605259,Q56644435
amiloride,flurbiprofen,Hyperkalaemia,10020646,Probable,644,4502,Q419995,Q419890,Q605259,Q56644435
amiloride,ibuprofen,Hyperkalaemia,10020646,Probable,644,5640,Q419995,Q186969,Q605259,Q56644435
amiloride,ketoprofen,Hyperkalaemia,10020646,Probable,644,6142,Q419995,Q409192,Q605259,Q56644435
amiloride,etodolac,Hyperkalaemia,10020646,Probable,644,24605,Q419995,Q2465218,Q605259,Q56644435
amiloride,mefenamate,Hyperkalaemia,10020646,Probable,644,,Q419995,,Q605259,Q56644435
amiloride,sulindac,Hyperkalaemia,10020646,Probable,644,10237,Q419995,Q963093,Q605259,Q56644435
amiloride,parecoxib,Hyperkalaemia,10020646,Probable,644,279950,Q419995,Q347941,Q605259,Q56644435
amiloride,aceclofenac,Hyperkalaemia,10020646,Probable,644,16689,Q419995,Q481757,Q605259,Q56644435
amiloride,tenoxicam,Hyperkalaemia,10020646,Probable,644,37790,Q419995,Q45050,Q605259,Q56644435
amiloride,dexketoprofen,Hyperkalaemia,10020646,Probable,644,,Q419995,,Q605259,Q56644435
amiloride,tiaprofenate,Hyperkalaemia,10020646,Probable,644,,Q419995,,Q605259,Q56644435
lisinopril,valsartan,Hyperkalaemia,10020646,Established,29046,69749,Q47495698,Q155472,Q605259,Q123505415
lisinopril,telmisartan,Hyperkalaemia,10020646,Established,29046,73494,Q47495698,Q733186,Q605259,Q123505415
lisinopril,eprosartan,Hyperkalaemia,10020646,Established,29046,83515,Q47495698,Q784717,Q605259,Q123505415
lisinopril,irbesartan,Hyperkalaemia,10020646,Established,29046,83818,Q47495698,Q947266,Q605259,Q123505415
lisinopril,candesartan,Hyperkalaemia,10020646,Established,29046,214354,Q47495698,Q415970,Q605259,Q123505415
lisinopril,losartan,Hyperkalaemia,10020646,Established,29046,52175,Q47495698,Q410074,Q605259,Q123505415
lisinopril,olmesartan,Hyperkalaemia,10020646,Established,29046,321064,Q47495698,Q421156,Q605259,Q123505415
lisinopril,azilsartan,Hyperkalaemia,10020646,Established,29046,1091643,Q47495698,Q27074832,Q605259,Q123505415
valsartan,quinapril,Hyperkalaemia,10020646,Established,69749,35208,Q155472,Q596022,Q605259,Q123505415
valsartan,ramipril,Hyperkalaemia,10020646,Established,69749,35296,Q155472,Q412666,Q605259,Q123505415
valsartan,captopril,Hyperkalaemia,10020646,Established,69749,1998,Q155472,Q421119,Q605259,Q123505415
valsartan,enalapril,Hyperkalaemia,10020646,Established,69749,3827,Q155472,Q422185,Q605259,Q123505415
valsartan,trandolapril,Hyperkalaemia,10020646,Established,69749,38454,Q155472,Q929420,Q605259,Q123505415
valsartan,perindopril,Hyperkalaemia,10020646,Established,69749,54552,Q155472,Q277785,Q605259,Q123505415
telmisartan,quinapril,Hyperkalaemia,10020646,Established,73494,35208,Q733186,Q596022,Q605259,Q123505415
telmisartan,ramipril,Hyperkalaemia,10020646,Established,73494,35296,Q733186,Q412666,Q605259,Q123505415
telmisartan,captopril,Hyperkalaemia,10020646,Established,73494,1998,Q733186,Q421119,Q605259,Q123505415
telmisartan,enalapril,Hyperkalaemia,10020646,Established,73494,3827,Q733186,Q422185,Q605259,Q123505415
telmisartan,trandolapril,Hyperkalaemia,10020646,Established,73494,38454,Q733186,Q929420,Q605259,Q123505415
telmisartan,perindopril,Hyperkalaemia,10020646,Established,73494,54552,Q733186,Q277785,Q605259,Q123505415
quinapril,eprosartan,Hyperkalaemia,10020646,Established,35208,83515,Q596022,Q784717,Q605259,Q123505415
quinapril,irbesartan,Hyperkalaemia,10020646,Established,35208,83818,Q596022,Q947266,Q605259,Q123505415
quinapril,candesartan,Hyperkalaemia,10020646,Established,35208,214354,Q596022,Q415970,Q605259,Q123505415
quinapril,losartan,Hyperkalaemia,10020646,Established,35208,52175,Q596022,Q410074,Q605259,Q123505415
quinapril,olmesartan,Hyperkalaemia,10020646,Established,35208,321064,Q596022,Q421156,Q605259,Q123505415
quinapril,azilsartan,Hyperkalaemia,10020646,Established,35208,1091643,Q596022,Q27074832,Q605259,Q123505415
ramipril,eprosartan,Hyperkalaemia,10020646,Established,35296,83515,Q412666,Q784717,Q605259,Q123505415
ramipril,irbesartan,Hyperkalaemia,10020646,Established,35296,83818,Q412666,Q947266,Q605259,Q123505415
ramipril,candesartan,Hyperkalaemia,10020646,Established,35296,214354,Q412666,Q415970,Q605259,Q123505415
ramipril,losartan,Hyperkalaemia,10020646,Established,35296,52175,Q412666,Q410074,Q605259,Q123505415
ramipril,olmesartan,Hyperkalaemia,10020646,Established,35296,321064,Q412666,Q421156,Q605259,Q123505415
ramipril,azilsartan,Hyperkalaemia,10020646,Established,35296,1091643,Q412666,Q27074832,Q605259,Q123505415
captopril,eprosartan,Hyperkalaemia,10020646,Established,1998,83515,Q421119,Q784717,Q605259,Q123505415
captopril,irbesartan,Hyperkalaemia,10020646,Established,1998,83818,Q421119,Q947266,Q605259,Q123505415
captopril,candesartan,Hyperkalaemia,10020646,Established,1998,214354,Q421119,Q415970,Q605259,Q123505415
captopril,losartan,Hyperkalaemia,10020646,Established,1998,52175,Q421119,Q410074,Q605259,Q123505415
captopril,olmesartan,Hyperkalaemia,10020646,Established,1998,321064,Q421119,Q421156,Q605259,Q123505415
captopril,azilsartan,Hyperkalaemia,10020646,Established,1998,1091643,Q421119,Q27074832,Q605259,Q123505415
